left_key	left_name	right_key	right_name	chosen_key
29850	Отделение УФМС России по Приморскому краю в Надеждинском муниципальном районе	29821	Управление Федеральной миграционной службы по Приморскому краю	29850
29853	Отделение УФМС России по Приморскому краю в Октябрьском муниципальном районе	29821	Управление Федеральной миграционной службы по Приморскому краю	29853
29856	Отделение УФМС России по Приморскому краю в Партизанском городском округе	29821	Управление Федеральной миграционной службы по Приморскому краю	29856
29861	Отделение УФМС России по Приморскому краю в Тернейском муниципальном раойне	29821	Управление Федеральной миграционной службы по Приморскому краю	29861
29870	Отделение УФМС России по Приморскому краю в Черниговском муниципальном районе	29821	Управление Федеральной миграционной службы по Приморскому краю	29870
938	Управление Федеральной службы судебных приставов по Архангельской области	169	Федеральная служба судебных приставов	938
926	Управление Федеральной службы судебных приставов по Астраханской области	169	Федеральная служба судебных приставов	926
948	Управление Федеральной службы судебных приставов по Калининградской области	169	Федеральная служба судебных приставов	948
979	Управление Федеральной службы судебных приставов по Камчатскому краю	169	Федеральная служба судебных приставов	979
1038	Управление Федеральной службы судебных приставов по Курганской области	169	Федеральная служба судебных приставов	1038
822	Управление Федеральной службы судебных приставов по Курской области	169	Федеральная служба судебных приставов	822
950	Управление Федеральной службы судебных приставов по Ленинградской области	169	Федеральная служба судебных приставов	950
823	Управление Федеральной службы судебных приставов по Липецкой области	169	Федеральная служба судебных приставов	823
986	Управление Федеральной службы судебных приставов по Магаданской области	169	Федеральная служба судебных приставов	986
567	Управление Федеральной службы судебных приставов по Москве	169	Федеральная служба судебных приставов	567
956	Управление Федеральной службы судебных приставов по Мурманской области	169	Федеральная служба судебных приставов	956
962	Управление Федеральной службы судебных приставов по Новгородской области	169	Федеральная служба судебных приставов	962
1419	Управление Федеральной службы судебных приставов по Оренбургской области	169	Федеральная служба судебных приставов	1419
1423	Управление Федеральной службы судебных приставов по Пензенской области	169	Федеральная служба судебных приставов	1423
981	Управление Федеральной службы судебных приставов по Приморскому краю	169	Федеральная служба судебных приставов	981
964	Управление Федеральной службы судебных приставов по Псковской области	169	Федеральная служба судебных приставов	964
833	Управление Федеральной службы судебных приставов по Республике Адыгея	169	Федеральная служба судебных приставов	833
1004	Управление Федеральной службы судебных приставов по Республике Алтай	169	Федеральная служба судебных приставов	1004
869	Управление Федеральной службы судебных приставов по Республике Ингушетия	169	Федеральная служба судебных приставов	869
871	Управление Федеральной службы судебных приставов по Республике Кабардино-Балкария	169	Федеральная служба судебных приставов	871
872	Управление Федеральной службы судебных приставов по Республике Калмыкия	169	Федеральная служба судебных приставов	872
875	Управление Федеральной службы судебных приставов по Республике Карачаево-Черкессия	169	Федеральная служба судебных приставов	875
935	Управление Федеральной службы судебных приставов по Республике Карелия	169	Федеральная служба судебных приставов	935
1059	Управление Федеральной службы судебных приставов по Республике Марий Эл	169	Федеральная служба судебных приставов	1059
1060	Управление Федеральной службы судебных приставов по Республике Мордовия	169	Федеральная служба судебных приставов	1060
877	Управление Федеральной службы судебных приставов по Республике Северная Осетия - Алания	169	Федеральная служба судебных приставов	877
1007	Управление Федеральной службы судебных приставов по Республике Тыва	169	Федеральная служба судебных приставов	1007
